Player Name,PUUID,match_weighted_average(%),match_result
wood 17,xPfYOQ0RgYho8C-84zzY8ZpZbfOGV6Ja4gFwdgwSZHKw8MV8Iy7YmNEcV6ApYDgtFhk-z9M4xNT-Mw,51.15149999999999,False
Kriffi,49DDHr7tEubL5gsl56tFaUXDP0rm55w-TcmGkVNpsHM8J4cvYN2pWQ9JqeqGA3DyB2pbpSJt2OkakQ,51.44,True
vemboy,9HgruhnCz6pj-zk2fqwa8CGihKAdfdPYAIzPKq6gEZ36gVkDPjnOknlATQIn6EmVdQ4iPtnCcJL9og,61.614666666666665,False
BoricuaBean,4EcjYVgouzQsGIPVCAW_85wUObKt3Njk3fTq-bm4nkz4m3EkHUGB6iqR9aHxMeK9KTEkH1C4MmC6aQ,54.489666666666665,False
나 비,ixcF7aVUJGAhKE-QlR_Jvxo3-17NkEn2RS3YxlEUNQtCqETSReCtZ_cQTv0CYUMAhTx8vMaT4OdJoQ,57.46333333333333,True
goodmid bAAdteam,GWek0jcYvikCMRNZFlj23OfFxzWIFF5wWCVHh3oRDOwLI_56RuMjYq2oxI6Ne6rj8-S_OGURlT4pqQ,64.168,True
MechanicalPlayer,WE7SF7oF_5H5m5swbL_7PepTJF7XBkesTrhDoxdBAR1PeYsBW5XsMGoP8Hywc6_2SSZnZIZK6m90BA,50.39525,False
Verdict,ub4yj8VrG_jyMAqTqUIgoRcTHzKnfmTPcLJJOaBDtFTGIiG5WWTfUp7hBzM7xxXvPSUqfTVSBfvOHQ,47.94,True
White Snow,GzVOh-FHa_KK_4U7wk6jgDmMFtrZ1qg3wFMtUHn0qPVpwgJoMxTI3sKdJa_mdTsDHtkXER8ILeLlSg,51.816,True
Fallouch,tQNfQ44UJzhvYax474giZfQ7WiQ33Ev005TE3vayQt2xWFsb7m-xyXy975iUP-6qCeDYD0V7E_vfxg,36.842999999999996,True
Good to see you,LHS8ojNPgy-IclVYFT1lv-ENnh_mXdFcPj5SYhExNqiiV7ws8XeGuWxQorqqzL1q1nlTep38qCwz0g,62.55733333333333,True
Kurfyou,6g1W28Db46K8kH_mgzjGM4cs0Bz2ZFFQchi_6zW58q4ddXpHXVZV5-kt4oIic_YzKWQ5KzOkrbB7WQ,49.923500000000004,False
CalgaryBeef,KUDGFszpr_TjvOkZPW8PJbf92LQgWlsUzjaqMfgOGA20QHF8957-TRMrpqLrrcBVTZ-SskTGBJza7Q,43.3575,True
odium,rYngR6dRcXK6AX1pz6GNvSj5Y8B9Voxn6xxLwJWHDAZ0I1CfAabOzbQ6rZdWw1JxcQxAi2a9U6aGKQ,52.355333333333334,False
